NAME                	CHART VERSION	APP VERSION	DESCRIPTION
local/onap                	8.0.0      Honolulu   Open Network Automation Platform (ONAP)
local/aaf                 	8.0.0        	        ONAP Application Authorization Framework
local/aai                 	8.0.0        	        ONAP Active and Available Inventory
local/appc                	8.0.0        	        Application Controller
local/cassandra           	8.0.0        	        ONAP cassandra
local/cds                 	8.0.0        	        ONAP Controller Design Studio (CDS)
local/clamp               	8.0.0        	        ONAP Clamp
local/cli                 	8.0.0        	        ONAP Command Line Interface
local/common              	8.0.0        	        Common templates for inclusion in other charts
local/consul              	8.0.0        	        ONAP Consul Agent
local/contrib             	8.0.0        	        ONAP optional tools
local/cps                 	8.0.0        	        ONAP Configuration Persistene Service (CPS)
local/dcaegen2            	8.0.0        	        ONAP DCAE Gen2
local/dgbuilder           	8.0.0        	        D.G. Builder application
local/dmaap               	8.0.0        	        ONAP DMaaP components
local/esr                 	8.0.0        	        ONAP External System Register
local/log                 	8.0.0        	        ONAP Logging ElasticStack
local/mariadb-galera      	8.0.0        	        Chart for MariaDB Galera cluster
local/mongo               	8.0.0        	        MongoDB Server
local/msb                 	8.0.0        	        ONAP MicroServices Bus
local/multicloud          	8.0.0        	        ONAP multicloud broker
local/music               	8.0.0        	        MUSIC - Multi-site State Coordination Service
local/mysql               	8.0.0        	        MySQL Server
local/nbi                 	8.0.0        	        ONAP Northbound Interface
local/network-name-gen    	8.0.0        	        Name Generation Micro Service
local/nfs-provisioner     	8.0.0        	        NFS provisioner
local/oof                 	8.0.0        	        ONAP Optimization Framework
local/policy              	8.0.0        	        ONAP Policy Administration Point
local/pomba               	8.0.0        	        ONAP Post Orchestration Model Based Audit
local/portal              	8.0.0        	        ONAP Web Portal
local/postgres            	8.0.0        	        ONAP Postgres Server
local/robot               	8.0.0        	        A helm Chart for kubernetes-ONAP Robot
local/sdc                 	8.0.0        	        Service Design and Creation Umbrella Helm charts
local/sdnc                	8.0.0        	        SDN Controller
local/sdnc-prom           	8.0.0        	        ONAP SDNC Policy Driven Ownership Management
local/sniro-emulator      	8.0.0        	        ONAP Mock Sniro Emulator
local/so                  	8.0.0        	        ONAP Service Orchestrator
local/uui                 	8.0.0        	        ONAP uui
local/vfc                 	8.0.0        	        ONAP Virtual Function Controller (VF-C)
local/vid                 	8.0.0        	        ONAP Virtual Infrastructure Deployment
local/vnfsdk              	8.0.0        	        ONAP VNF SDK
