NodePort,Component,Service name,targetPort,Port
30201,SDNC,sdnc-portal,8443,8443
30203,SDNC,sdnc-dgbuilder,3100,3000
30204,SDC,sdc-be-external,8443,8443
30207,SDC,sdc-fe,9443,9443
30209,ROBOT,robot,443,443
30210,AAI,aai-modelloader,8080,8080
30218,POLICY,pap,9091,9091
30219,POLICY,pap,8443,8443
30220,AAI,aai-sparky-be,8000,8000
30222,DCAE,dcae-hv-ves-collector,6061,6061
30226,DMAAP,message-router-external,3905,3905
30229,AAI,aai-modelloader,8443,8443
30233,AAI,aai,8443,8443
30242,DMAAP,dmaap-bc,8443,8443
30248,OOF,oof-osdf,8699,8698
30256,SDC,sdc-wfd-fe,8443,8443
30257,SDC,sdc-wfd-be,8443,8443
30260,CLI,cli,443,443
30264,DCAE,sdc-dcae-fe,9444,9444
30266,DCAE,sdc-dcae-dt,9446,9446
30267,SDNC,sdnc,8443,8443
30269,DMAAP,dmaapr-prov,443,8443
30271,CLI,cli,9090,9090
30274,EXTAPI,nbi,8443,8443
30275,OOF,oof-has-api,8091,8091
30277,SO,so,8080,8080
30279,AAI,aai-babel,9516,9516
30283,MSB,msb-iag,443,443
30284,MSB,msb-eag,443,443
30297,VNFSDK,refrepo,8703,8703
30398,UUI,uui,8443,8443
30399,UUI,uui-server,8082,8082
30406,SO,so-vnfm-adapter,9092,9092
30407,MUSIC,music,8443,8443
30417,DCAE,xdcae-ves-collector,8443,8443
30418,DCAE,dashboard,8443,8443
30490,DMAAP,message-router-kafka-0,9091,9091
30491,DMAAP,message-router-kafka-1,9091,9091
30492,DMAAP,message-router-kafka-2,9091,9091
30494,DMAAP,dmaap-dr-node-external,8443,8443
30497,CDS,cds-ui,3000,3000
